,loss,accuracy,val_loss,val_accuracy
0,0.14065253309181758,0.9472143054008484,0.06148700309960648,0.9789999723434448
1,0.06366291804483959,0.9772607088088989,0.045961962514665236,0.984749972820282
2,0.05253614404286657,0.9813107252120972,0.04200066506949275,0.9843409061431885
3,0.045101305901152744,0.9839214086532593,0.04551347910404899,0.9836363792419434
4,0.0414597421169281,0.9853571653366089,0.034843369408748874,0.9873181581497192
5,0.0382032632955483,0.9864964485168457,0.030140055116092742,0.9895227551460266
6,0.03381044368020126,0.9881071448326111,0.030582397006625354,0.9886590838432312
7,0.032586984810658866,0.9884821176528931,0.026282540013537158,0.9901136159896851
8,0.03074069358451026,0.9893500208854675,0.03438957203396185,0.987636387348175
9,0.03017847336232662,0.9894571304321289,0.021584992605629703,0.9925681948661804
10,0.025713648469958987,0.9912892580032349,0.02221926717564117,0.9925909042358398
11,0.02608867921233177,0.990842878818512,0.024767271048107813,0.991636335849762
12,0.02636921969652176,0.9908178448677063,0.025428926377275656,0.990818202495575
